team,player,baseline_completion,completion_without_player,percentage_change,absolute_change,ground_pass_pct,low_pass_pct,high_pass_pct
Barcelona,Xavi,88.39177750906893,84.08239700374533,-4.875318300824376,-4.3093805053236025,87.41721854304636,7.9470198675496695,4.635761589403973
Barcelona,Iniesta,88.39177750906893,86.03066439522998,-2.6711908962309368,-2.361113113838954,86.32478632478633,8.547008547008547,5.128205128205128
Barcelona,Messi,88.39177750906893,87.68971332209107,-0.7942641349257096,-0.7020641869778643,99.03846153846155,0.9615384615384616,0.0
Barcelona,Busquets,88.39177750906893,87.38738738738738,-1.136293612353822,-1.0043901216815527,87.05882352941177,9.411764705882353,3.5294117647058822
Barcelona,Dani Alves,88.39177750906893,88.87240356083086,0.5437452049344962,0.48062605176193074,76.82926829268293,19.51219512195122,3.6585365853658534
Barcelona,Abidal,88.39177750906893,88.14504881450488,-0.27913082134674916,-0.24672869456405522,67.1875,25.0,7.8125
Barcelona,Mascherano,88.39177750906893,87.89986091794158,-0.5565184963916799,-0.49191659112734953,69.35483870967742,16.129032258064516,14.516129032258066
Barcelona,Piqué,88.39177750906893,88.4979702300406,0.12013868706370068,0.10619272097166288,74.07407407407408,12.962962962962962,12.962962962962962
Barcelona,Pedro,88.39177750906893,89.3732970027248,1.1104194545190176,0.9815194936558669,89.47368421052632,5.263157894736842,5.263157894736842
Barcelona,Villa,88.39177750906893,89.48069241011984,1.2319187731451504,1.088914901050913,83.33333333333334,13.333333333333334,3.3333333333333335
Barcelona,Valdés,88.39177750906893,88.76117496807151,0.41790930040374474,0.3693974590025846,53.333333333333336,3.3333333333333335,43.333333333333336
Manchester United,Ferdinand,76.45569620253164,72.58064516129032,-5.068361461226231,-3.8750510412413206,65.3061224489796,8.16326530612245,26.53061224489796
Manchester United,Rooney,76.45569620253164,79.2982456140351,3.7179040316022016,2.8425494115034553,54.54545454545454,27.27272727272727,18.181818181818183
Manchester United,Vidić,76.45569620253164,74.85207100591717,-2.097456796896414,-1.6036251966144732,64.70588235294117,20.588235294117645,14.705882352941178
Manchester United,Carrick,76.45569620253164,74.69879518072288,-2.297933455677019,-1.7569010218087584,32.432432432432435,40.54054054054054,27.027027027027028
Manchester United,Giggs,76.45569620253164,75.78616352201259,-0.8757132741888298,-0.6695326805190547,38.88888888888889,27.77777777777778,33.33333333333333
Manchester United,Evra,76.45569620253164,75.0733137829912,-1.8080829659552038,-1.3823824195404342,59.375,34.375,6.25
Manchester United,Park,76.45569620253164,77.1604938271605,0.921837952743036,0.7047976246288528,61.76470588235294,29.411764705882355,8.823529411764707
Manchester United,Valencia,76.45569620253164,75.96439169139467,-0.6426002711890886,-0.49130451113697404,73.33333333333333,20.0,6.666666666666667
Manchester United,Van der Sar,76.45569620253164,77.48538011695906,1.346772007280901,1.029683914427423,25.0,11.11111111111111,63.888888888888886
Manchester United,Chicharito,76.45569620253164,79.59183673469387,4.10190566292742,3.13614053216223,93.75,6.25,0.0
Manchester United,Fábio,76.45569620253164,75.97765363128491,-0.6252543564319839,-0.478042571246732,45.45454545454545,27.27272727272727,27.27272727272727
