Team,Avg_Passes_Success,Avg_Passes_Failed,Direct_Success,Direct_Failed,Long_Pass_Count
Barcelona,9.3375,5.157894736842105,11,12,9
Manchester United,8.688888888888888,6.236363636363636,4,29,22
