,total,success,fail
Valdés,114,89,14
Mascherano,79,68,2
Xavi,124,112,0
Messi,98,85,0
Iniesta,98,86,0
Busquets,97,86,0
Abidal,68,56,0
Villa,80,80,0
Pedro,53,43,0
Dani Alves,82,73,0
Piqué,58,49,3
